Target Distance: 100 , Step Size: 20 
1118: (x, y) = ( 7.93118, 6.09068 )
1119: (x, y) = ( -6.73485, -7.39201 )
1120: (x, y) = ( -4.94898, 8.68951 )
1121: (x, y) = ( -9.96088, 0.883687 )
1122: (x, y) = ( -7.30194, 6.8324 )
1123: (x, y) = ( 8.39088, -5.43996 )
1124: (x, y) = ( -1.01616, 9.94824 )
1125: (x, y) = ( 6.86487, -7.27143 )
1126: (x, y) = ( -0.574724, -9.98347 )
1127: (x, y) = ( 9.07447, 4.20167 )
1128: (x, y) = ( 9.14742, -4.04038 )
1129: (x, y) = ( -9.73642, -2.28082 )
1130: (x, y) = ( -6.40144, -7.68255 )
1131: (x, y) = ( -9.98592, 0.530535 )
1132: (x, y) = ( 0.928062, -9.95684 )
1133: (x, y) = ( 9.77533, -2.10781 )
1134: (x, y) = ( -9.99961, -0.0885131 )
1135: (x, y) = ( 8.19306, -5.73357 )
1136: (x, y) = ( 9.95267, -0.971819 )
1137: (x, y) = ( -7.76667, -6.29911 )
1138: (x, y) = ( 7.53902, 6.56987 )
1139: (x, y) = ( 5.62429, 8.26846 )
1140: (x, y) = ( 8.95984, -4.44086 )
1141: (x, y) = ( -7.7108, 6.36738 )
1142: (x, y) = ( 3.42466, 9.3953 )
1143: (x, y) = ( 9.84382, -1.76046 )
1144: (x, y) = ( -0.397908, -9.99208 )
1145: (x, y) = ( -7.7108, 6.36738 )
1146: (x, y) = ( -4.63829, 8.85925 )
1147: (x, y) = ( 6.99251, -7.14876 )
1148: (x, y) = ( -5.47729, 8.36656 )
1149: (x, y) = ( -9.07459, 4.2014 )
1150: (x, y) = ( 2.4954, 9.68364 )
1151: (x, y) = ( -4.55942, -8.90009 )
1152: (x, y) = ( -9.60162, -2.79444 )
1153: (x, y) = ( -8.43838, -5.36598 )
1154: (x, y) = ( 8.62319, -5.06366 )
1155: (x, y) = ( 6.19521, 7.8498 )
1156: (x, y) = ( 5.10177, 8.60069 )
1157: (x, y) = ( -5.55088, -8.31791 )
1158: (x, y) = ( 2.32359, 9.7263 )
1159: (x, y) = ( 9.89988, 1.4115 )
1160: (x, y) = ( -9.87339, -1.58623 )
1161: (x, y) = ( -6.40144, -7.68255 )
1162: (x, y) = ( 1.97784, 9.80246 )
1163: (x, y) = ( 8.83863, 4.67745 )
1164: (x, y) = ( -7.87696, -6.16064 )
1165: (x, y) = ( -5.77002, 8.16743 )
1166: (x, y) = ( -3.99985, -9.16522 )
1167: (x, y) = ( 1.97784, 9.80246 )
1168: (x, y) = ( -5.32833, -8.4622 )
1169: (x, y) = ( -1.71688, -9.85151 )
1170: (x, y) = ( 8.83863, 4.67745 )
1171: (x, y) = ( 2.15105, 9.76591 )
1172: (x, y) = ( -0.574724, -9.98347 )
1173: (x, y) = ( -1.36767, 9.90603 )
1174: (x, y) = ( 4.00013, -9.16509 )
1175: (x, y) = ( 3.7551, 9.26819 )
1176: (x, y) = ( -6.66938, 7.45113 )
1177: (x, y) = ( 5.6975, -8.21818 )
1178: (x, y) = ( 9.25136, 3.79636 )
1179: (x, y) = ( -6.73485, -7.39201 )
1180: (x, y) = ( 8.29327, -5.58764 )
1181: (x, y) = ( 9.31711, 3.63199 )
1182: (x, y) = ( -6.40144, -7.68255 )
1183: (x, y) = ( 9.349, -3.5491 )
1184: (x, y) = ( 9.9339, -1.14785 )
1185: (x, y) = ( -2.23741, -9.74649 )
1186: (x, y) = ( 8.57788, 5.14004 )
1187: (x, y) = ( 9.14742, -4.04038 )
1188: (x, y) = ( 9.99961, -0.0882117 )
1189: (x, y) = ( 8.57788, 5.14004 )
1190: (x, y) = ( -5.32833, -8.4622 )
1191: (x, y) = ( -3.75538, 9.26807 )
1192: (x, y) = ( -1.54222, -9.88036 )
1193: (x, y) = ( -5.02544, -8.64551 )
1194: (x, y) = ( 8.34223, 5.51427 )
1195: (x, y) = ( -5.1777, -8.5552 )
1196: (x, y) = ( 9.96085, 0.883987 )
1197: (x, y) = ( -3.00564, -9.53762 )
1198: (x, y) = ( -9.98081, -0.619203 )
1199: (x, y) = ( -9.71592, 2.36661 )
1200: (x, y) = ( 0.398209, -9.99207 )
1201: (x, y) = ( -8.53204, -5.21577 )
1202: (x, y) = ( -3.42495, 9.3952 )
1203: (x, y) = ( -5.55088, -8.31791 )
1204: (x, y) = ( 3.59044, 9.33321 )
1205: (x, y) = ( 9.95267, -0.971819 )
1206: (x, y) = ( -9.52413, -3.04811 )
1207: (x, y) = ( 3.91857, 9.20026 )
1208: (x, y) = ( -9.67251, 2.53823 )
1209: (x, y) = ( -8.03793, 5.94909 )
1210: (x, y) = ( -9.43994, 3.29962 )
1211: (x, y) = ( 5.76978, 8.1676 )
1212: (x, y) = ( 8.57788, 5.14004 )
1213: (x, y) = ( 8.57788, 5.14004 )
1214: (x, y) = ( -1.71688, -9.85151 )
1215: (x, y) = ( 9.11118, 4.12146 )
1216: (x, y) = ( -9.99647, -0.265512 )
1217: (x, y) = ( -9.96829, -0.795786 )
1218: (x, y) = ( -2.75163, -9.61397 )
1219: (x, y) = ( -2.49569, 9.68357 )
1220: (x, y) = ( 1.4547, 9.89363 )
1221: (x, y) = ( -9.49687, 3.132 )
1222: (x, y) = ( -3.42495, 9.3952 )
1223: (x, y) = ( -2.15135, 9.76584 )
1224: (x, y) = ( 4.24179, -9.05578 )
1225: (x, y) = ( -8.03793, 5.94909 )
1226: (x, y) = ( 9.46878, -3.21594 )
1227: (x, y) = ( -9.71592, 2.36661 )
1228: (x, y) = ( -9.1113, 4.12118 )
1229: (x, y) = ( 8.57788, 5.14004 )
1230: (x, y) = ( -9.46868, -3.21622 )
1231: (x, y) = ( 3.7551, 9.26819 )
1232: (x, y) = ( 9.99373, 0.353983 )
1233: (x, y) = ( 9.94364, 1.06017 )
1234: (x, y) = ( -9.52413, -3.04811 )
1235: (x, y) = ( 3.25781, 9.45445 )
1236: (x, y) = ( -2.75163, -9.61397 )
1237: (x, y) = ( 4.16119, 9.0931 )
1238: (x, y) = ( 9.97494, 0.707522 )
1239: (x, y) = ( 8.48554, 5.29108 )
1240: (x, y) = ( -2.15135, 9.76584 )
1241: (x, y) = ( 5.25322, 8.50904 )
1242: (x, y) = ( 9.41037, -3.38305 )
1243: (x, y) = ( 9.99961, -0.0882117 )
1244: (x, y) = ( 9.75623, 2.19455 )
1245: (x, y) = ( 10, 0 )
1246: (x, y) = ( 1.27994, -9.91775 )
1247: (x, y) = ( 4.94872, 8.68966 )
1248: (x, y) = ( -4.71626, -8.81799 )
1249: (x, y) = ( -0.839895, 9.96467 )
1250: (x, y) = ( 5.25322, 8.50904 )
1251: (x, y) = ( 1.1918, 9.92873 )
1252: (x, y) = ( -8.66767, 4.98713 )
1253: (x, y) = ( -9.79361, 2.0212 )
1254: (x, y) = ( -4.55942, -8.90009 )
1255: (x, y) = ( 0.839594, 9.96469 )
1256: (x, y) = ( -9.99374, 0.353682 )
1257: (x, y) = ( 9.6017, -2.79415 )
1258: (x, y) = ( -4.63829, 8.85925 )
1259: (x, y) = ( 8.95984, -4.44086 )
1260: (x, y) = ( 3.08994, 9.51064 )
1261: (x, y) = ( 9.71585, 2.36691 )
1262: (x, y) = ( 9.91203, -1.32352 )
1263: (x, y) = ( 8.43854, -5.36573 )
1264: (x, y) = ( 0.575025, -9.98345 )
1265: (x, y) = ( -9.84377, -1.76076 )
1266: (x, y) = ( 7.87715, -6.1604 )
1267: (x, y) = ( 8.34223, 5.51427 )
1268: (x, y) = ( -5.25348, 8.50888 )
1269: (x, y) = ( -9.77527, -2.10811 )
1270: (x, y) = ( 4.16119, 9.0931 )
1271: (x, y) = ( 9.6017, -2.79415 )
1272: (x, y) = ( -9.94367, 1.05988 )
1273: (x, y) = ( -7.36193, -6.76772 )
1274: (x, y) = ( 9.57668, -2.87874 )
1275: (x, y) = ( -9.93387, -1.14815 )
1276: (x, y) = ( -7.36193, -6.76772 )
1277: (x, y) = ( -8.53204, -5.21577 )
1278: (x, y) = ( -7.7108, 6.36738 )
1279: (x, y) = ( 8.71147, -4.91022 )
1280: (x, y) = ( -9.41026, -3.38333 )
1281: (x, y) = ( -2.40959, -9.70535 )
1282: (x, y) = ( -3.59072, 9.3331 )
1283: (x, y) = ( -8.0901, -5.87795 )
1284: (x, y) = ( 3.50797, -9.36451 )
1285: (x, y) = ( -7.65395, -6.43561 )
1286: (x, y) = ( 5.17796, -8.55504 )
1287: (x, y) = ( 5.10177, 8.60069 )
1288: (x, y) = ( -9.1473, -4.04065 )
1289: (x, y) = ( 2.58131, -9.6611 )
1290: (x, y) = ( -1.891, -9.81958 )
1291: (x, y) = ( 8.14181, 5.80611 )
1292: (x, y) = ( -9.77527, -2.10811 )
1293: (x, y) = ( -4.63829, 8.85925 )
1294: (x, y) = ( 4.94872, 8.68966 )
1295: (x, y) = ( -2.66672, 9.63787 )
1296: (x, y) = ( -6.26444, -7.79466 )
1297: (x, y) = ( -3.67291, -9.30106 )
1298: (x, y) = ( 9.96085, 0.883987 )
1299: (x, y) = ( -3.99985, -9.16522 )
1300: (x, y) = ( 1.62961, 9.86633 )
1301: (x, y) = ( -3.83698, -9.23458 )
1302: (x, y) = ( 3.00593, -9.53753 )
1303: (x, y) = ( -8.4857, 5.29083 )
1304: (x, y) = ( 9.14742, -4.04038 )
1305: (x, y) = ( -9.62606, 2.70906 )
1306: (x, y) = ( 9.03705, -4.28155 )
1307: (x, y) = ( -9.88709, 1.49847 )
1308: (x, y) = ( -4.71626, -8.81799 )
1309: (x, y) = ( 7.82212, 6.23012 )
1310: (x, y) = ( 4.16119, 9.0931 )
1311: (x, y) = ( 1.4547, 9.89363 )
1312: (x, y) = ( -9.43994, 3.29962 )
1313: (x, y) = ( 4.40143, -8.97928 )
1314: (x, y) = ( -9.81106, -1.93473 )
1315: (x, y) = ( 9.64966, -2.62375 )
1316: (x, y) = ( 6.46919, 7.62558 )
1317: (x, y) = ( 9.99648, -0.26521 )
1318: (x, y) = ( 0.044257, -9.9999 )
1319: (x, y) = ( -4.94898, 8.68951 )
1320: (x, y) = ( -5.84184, -8.11621 )
1321: (x, y) = ( -6.86465, -7.27163 )
1322: (x, y) = ( -8.43838, -5.36598 )
1323: (x, y) = ( 3.83726, -9.23447 )
1324: (x, y) = ( -5.32833, -8.4622 )
1325: (x, y) = ( -7.53922, 6.56964 )
1326: (x, y) = ( -8.19288, -5.73382 )
1327: (x, y) = ( -3.2581, 9.45435 )
1328: (x, y) = ( 1.89129, -9.81952 )
1329: (x, y) = ( -7.65395, -6.43561 )
1330: (x, y) = ( 1.54251, -9.88032 )
1331: (x, y) = ( -2.58102, -9.66118 )
1332: (x, y) = ( 8.95984, -4.44086 )
1333: (x, y) = ( -8.95971, -4.44113 )
1334: (x, y) = ( -1.8043, 9.83588 )
1335: (x, y) = ( 6.40167, -7.68235 )
1336: (x, y) = ( 9.8278, 1.84782 )
1337: (x, y) = ( 5.17796, -8.55504 )
1338: (x, y) = ( 3.08994, 9.51064 )
1339: (x, y) = ( 6.40167, -7.68235 )
1340: (x, y) = ( -5.9846, -8.01153 )
1341: (x, y) = ( 8.57788, 5.14004 )
1342: (x, y) = ( -8.75459, 4.83292 )
1343: (x, y) = ( 3.00593, -9.53753 )
1344: (x, y) = ( 8.39088, -5.43996 )
1345: (x, y) = ( -0.751361, -9.97173 )
1346: (x, y) = ( 5.32859, -8.46204 )
1347: (x, y) = ( -4.55942, -8.90009 )
1348: (x, y) = ( -9.25148, 3.79608 )
1349: (x, y) = ( -8.43838, -5.36598 )
1350: (x, y) = ( -2.40959, -9.70535 )
1351: (x, y) = ( -2.06453, -9.78457 )
1352: (x, y) = ( -9.46868, -3.21622 )
1353: (x, y) = ( 9.99373, 0.353983 )
1354: (x, y) = ( -7.82231, 6.22989 )
1355: (x, y) = ( 10, 0 )
1356: (x, y) = ( 8.24331, 5.66108 )
1357: (x, y) = ( -7.36193, -6.76772 )
1358: (x, y) = ( 1.4547, 9.89363 )
1359: (x, y) = ( 7.11796, -7.02386 )
1360: (x, y) = ( 9.14742, -4.04038 )
1361: (x, y) = ( -2.75163, -9.61397 )
1362: (x, y) = ( -6.92896, 7.21038 )
1363: (x, y) = ( -5.9846, -8.01153 )
1364: (x, y) = ( -1.8043, 9.83588 )
1365: (x, y) = ( -5.84184, -8.11621 )
1366: (x, y) = ( 2.32359, 9.7263 )
1367: (x, y) = ( 8.24331, 5.66108 )
1368: (x, y) = ( 3.59044, 9.33321 )
1369: (x, y) = ( 9.67243, 2.53853 )
1370: (x, y) = ( -5.32833, -8.4622 )
1371: (x, y) = ( -6.99229, -7.14898 )
1372: (x, y) = ( 4.87188, -8.73297 )
1373: (x, y) = ( -2.58102, -9.66118 )
1374: (x, y) = ( -8.92018, 4.51999 )
1375: (x, y) = ( 8.99867, 4.36165 )
1376: (x, y) = ( -9.43994, 3.29962 )
1377: (x, y) = ( 9.81111, -1.93444 )
1378: (x, y) = ( -0.220966, -9.99756 )
1379: (x, y) = ( -4.71626, -8.81799 )
1380: (x, y) = ( 9.49678, 3.13229 )
1381: (x, y) = ( -4.32178, 9.01788 )
1382: (x, y) = ( 8.34223, 5.51427 )
1383: (x, y) = ( -7.98478, -6.02024 )
1384: (x, y) = ( 9.6017, -2.79415 )
1385: (x, y) = ( 7.53902, 6.56987 )
1386: (x, y) = ( 1.1918, 9.92873 )
1387: (x, y) = ( 6.66916, 7.45133 )
1388: (x, y) = ( -1.10387, -9.93889 )
1389: (x, y) = ( -4.32178, 9.01788 )
1390: (x, y) = ( -5.47729, 8.36656 )
1391: (x, y) = ( -0.0439555, -9.9999 )
1392: (x, y) = ( 9.85897, 1.67356 )
1393: (x, y) = ( -2.23741, -9.74649 )
1394: (x, y) = ( 8.03775, 5.94933 )
1395: (x, y) = ( 8.34223, 5.51427 )
1396: (x, y) = ( 9.99022, -0.442126 )
1397: (x, y) = ( 9.349, -3.5491 )
1398: (x, y) = ( 3.7551, 9.26819 )
1399: (x, y) = ( 9.84382, -1.76046 )
1400: (x, y) = ( 5.6975, -8.21818 )
1401: (x, y) = ( -9.89992, 1.4112 )
1402: (x, y) = ( -3.2581, 9.45435 )
1403: (x, y) = ( -3.42495, 9.3952 )
1404: (x, y) = ( 3.91857, 9.20026 )
1405: (x, y) = ( -6.19544, 7.84962 )
1406: (x, y) = ( -9.73642, -2.28082 )
1407: (x, y) = ( 2.58131, -9.6611 )
1408: (x, y) = ( 7.59668, 6.50311 )
1409: (x, y) = ( 9.96831, -0.795485 )
1410: (x, y) = ( 4.94872, 8.68966 )
1411: (x, y) = ( 6.73507, -7.39181 )
1412: (x, y) = ( 9.21751, -3.87782 )
1413: (x, y) = ( 7.65414, -6.43538 )
1414: (x, y) = ( 8.14181, 5.80611 )
1415: (x, y) = ( 9.87344, -1.58593 )
1416: (x, y) = ( 8.57788, 5.14004 )
1417: (x, y) = ( -9.97496, 0.707222 )
1418: (x, y) = ( 3.83726, -9.23447 )
1419: (x, y) = ( -9.43994, 3.29962 )
1420: (x, y) = ( 3.67319, -9.30095 )
1421: (x, y) = ( 5.62429, 8.26846 )
1422: (x, y) = ( 8.09028, -5.87771 )
1423: (x, y) = ( -9.75629, 2.19425 )
1424: (x, y) = ( -1.10387, -9.93889 )
1425: (x, y) = ( -6.86465, -7.27163 )
1426: (x, y) = ( -9.3489, -3.54938 )
1427: (x, y) = ( -6.05552, 7.95806 )
1428: (x, y) = ( -6.33343, 7.73872 )
1429: (x, y) = ( -7.05551, 7.08659 )
1430: (x, y) = ( 9.8278, 1.84782 )
1431: (x, y) = ( 8.43854, -5.36573 )
1432: (x, y) = ( 5.98484, -8.01135 )
1433: (x, y) = ( 9.69459, -2.45252 )
1434: (x, y) = ( 2.15105, 9.76591 )
1435: (x, y) = ( 3.25781, 9.45445 )
1436: (x, y) = ( -9.88709, 1.49847 )
1437: (x, y) = ( -7.30194, 6.8324 )
1438: (x, y) = ( -3.50769, -9.36462 )
1439: (x, y) = ( -2.66672, 9.63787 )
1440: (x, y) = ( 5.62429, 8.26846 )
1441: (x, y) = ( -9.97496, 0.707222 )
1442: (x, y) = ( 6.60317, -7.50987 )
1443: (x, y) = ( 2.83662, -9.58924 )
1444: (x, y) = ( -7.17985, 6.96058 )
1445: (x, y) = ( -8.39072, -5.44021 )
1446: (x, y) = ( 1.27994, -9.91775 )
1447: (x, y) = ( 4.94872, 8.68966 )
1448: (x, y) = ( 8.75445, 4.83318 )
1449: (x, y) = ( 8.62319, -5.06366 )
1450: (x, y) = ( -9.89992, 1.4112 )
1451: (x, y) = ( -9.93387, -1.14815 )
1452: (x, y) = ( 9.14742, -4.04038 )
1453: (x, y) = ( 9.99373, 0.353983 )
1454: (x, y) = ( 5.6975, -8.21818 )
1455: (x, y) = ( -8.43838, -5.36598 )
1456: (x, y) = ( -8.83877, 4.67719 )
1457: (x, y) = ( 9.79355, 2.0215 )
1458: (x, y) = ( -5.9846, -8.01153 )
1459: (x, y) = ( 7.53902, 6.56987 )
1460: (x, y) = ( -9.1473, -4.04065 )
1461: (x, y) = ( -9.75629, 2.19425 )
1462: (x, y) = ( 9.88705, 1.49877 )
1463: (x, y) = ( 7.17964, 6.9608 )
1464: (x, y) = ( -8.92018, 4.51999 )
1465: (x, y) = ( 6.73507, -7.39181 )
1466: (x, y) = ( 9.88705, 1.49877 )
1467: (x, y) = ( -7.87696, -6.16064 )
1468: (x, y) = ( 9.75623, 2.19455 )
1469: (x, y) = ( -5.62454, 8.26829 )
1470: (x, y) = ( 1.1918, 9.92873 )
1471: (x, y) = ( 7.87715, -6.1604 )
1472: (x, y) = ( -9.71592, 2.36661 )
1473: (x, y) = ( 9.92332, 1.23603 )
1474: (x, y) = ( -4.16147, 9.09297 )
1475: (x, y) = ( -6.99229, -7.14898 )
1476: (x, y) = ( 1.27994, -9.91775 )
1477: (x, y) = ( 7.11796, -7.02386 )
1478: (x, y) = ( 2.75192, -9.61389 )
1479: (x, y) = ( -9.41026, -3.38333 )
1480: (x, y) = ( 2.58131, -9.6611 )
1481: (x, y) = ( 8.09028, -5.87771 )
1482: (x, y) = ( 9.21751, -3.87782 )
1483: (x, y) = ( -6.05552, 7.95806 )
1484: (x, y) = ( -3.50769, -9.36462 )
1485: (x, y) = ( -8.4857, 5.29083 )
1486: (x, y) = ( -1.62991, 9.86628 )
1487: (x, y) = ( -0.397908, -9.99208 )
1488: (x, y) = ( -9.38005, 3.46621 )
1489: (x, y) = ( -2.40959, -9.70535 )
1490: (x, y) = ( 6.26468, -7.79447 )
1491: (x, y) = ( -2.23741, -9.74649 )
1492: (x, y) = ( 4.48047, 8.9401 )
1493: (x, y) = ( -9.98081, -0.619203 )
1494: (x, y) = ( 9.99648, -0.26521 )
1495: (x, y) = ( 9.14742, -4.04038 )
1496: (x, y) = ( 9.99373, 0.353983 )
1497: (x, y) = ( -5.9846, -8.01153 )
1498: (x, y) = ( -4.63829, 8.85925 )
1499: (x, y) = ( 9.67243, 2.53853 )
1500: (x, y) = ( 1.89129, -9.81952 )
1501: (x, y) = ( -9.3489, -3.54938 )
1502: (x, y) = ( -9.2174, -3.87809 )
1503: (x, y) = ( 6.86487, -7.27143 )
1504: (x, y) = ( -9.31722, 3.63171 )
1505: (x, y) = ( 9.67243, 2.53853 )
1506: (x, y) = ( -9.99844, 0.176718 )
1507: (x, y) = ( 8.62319, -5.06366 )
1508: (x, y) = ( -9.60162, -2.79444 )
1509: (x, y) = ( 2.06482, -9.7845 )
1510: (x, y) = ( 8.14181, 5.80611 )
1511: (x, y) = ( -4.87161, -8.73312 )
1512: (x, y) = ( -7.59688, 6.50288 )
1513: (x, y) = ( -5.1777, -8.5552 )
1514: (x, y) = ( 3.67319, -9.30095 )
1515: (x, y) = ( -2.58102, -9.66118 )
1516: (x, y) = ( 8.92005, 4.52026 )
1517: (x, y) = ( 8.57788, 5.14004 )
1518: (x, y) = ( -9.55083, 2.9634 )
1519: (x, y) = ( -4.40116, -8.97941 )
1520: (x, y) = ( -9.99961, -0.0885131 )
1521: (x, y) = ( -6.26444, -7.79466 )
1522: (x, y) = ( 8.24331, 5.66108 )
1523: (x, y) = ( -3.42495, 9.3952 )
1524: (x, y) = ( 5.76978, 8.1676 )
1525: (x, y) = ( -1.891, -9.81958 )
1526: (x, y) = ( -8.03793, 5.94909 )
1527: (x, y) = ( -4.0811, 9.12933 )
1528: (x, y) = ( 5.62429, 8.26846 )
1529: (x, y) = ( -1.54222, -9.88036 )
1530: (x, y) = ( -3.67291, -9.30106 )
1531: (x, y) = ( -6.40144, -7.68255 )
1532: (x, y) = ( -7.48058, -6.63634 )
1533: (x, y) = ( 7.42154, 6.70229 )
1534: (x, y) = ( -9.98081, -0.619203 )
1535: (x, y) = ( 9.37995, 3.46649 )
1536: (x, y) = ( 2.2377, -9.74642 )
1537: (x, y) = ( 6.86487, -7.27143 )
1538: (x, y) = ( -8.0901, -5.87795 )
1539: (x, y) = ( -5.1777, -8.5552 )
1540: (x, y) = ( -1.97814, 9.8024 )
1541: (x, y) = ( 6.26468, -7.79447 )
1542: (x, y) = ( -4.94898, 8.68951 )
1543: (x, y) = ( -4.87161, -8.73312 )
1544: (x, y) = ( -9.91199, -1.32382 )
1545: (x, y) = ( 5.6975, -8.21818 )
1546: (x, y) = ( 5.10177, 8.60069 )
1547: (x, y) = ( -9.67251, 2.53823 )
1548: (x, y) = ( -1.891, -9.81958 )
1549: (x, y) = ( 0.309449, 9.99521 )
1550: (x, y) = ( 6.53621, 7.56822 )
1551: (x, y) = ( 5.84209, -8.11603 )
1552: (x, y) = ( 0.044257, -9.9999 )
1553: (x, y) = ( 6.40167, -7.68235 )
1554: (x, y) = ( 9.349, -3.5491 )
1555: (x, y) = ( 8.19306, -5.73357 )
1556: (x, y) = ( -9.38005, 3.46621 )
1557: (x, y) = ( 9.81111, -1.93444 )
1558: (x, y) = ( 8.87983, -4.59877 )
1559: (x, y) = ( 1.4547, 9.89363 )
1560: (x, y) = ( 9.85897, 1.67356 )
1561: (x, y) = ( -8.14198, 5.80587 )
1562: (x, y) = ( -9.03692, -4.28183 )
1563: (x, y) = ( -6.26444, -7.79466 )
1564: (x, y) = ( -9.93387, -1.14815 )
1565: (x, y) = ( -2.58102, -9.66118 )
1566: (x, y) = ( 6.26468, -7.79447 )
1567: (x, y) = ( 9.9859, 0.530836 )
1568: (x, y) = ( 2.66643, 9.63795 )
1569: (x, y) = ( 8.57788, 5.14004 )
1570: (x, y) = ( -4.71626, -8.81799 )
1571: (x, y) = ( -9.97496, 0.707222 )
1572: (x, y) = ( -5.9846, -8.01153 )
1573: (x, y) = ( -6.73485, -7.39201 )
1574: (x, y) = ( 9.41037, -3.38305 )
1575: (x, y) = ( -5.32833, -8.4622 )
1576: (x, y) = ( -1.01616, 9.94824 )
1577: (x, y) = ( 7.71061, 6.36761 )
1578: (x, y) = ( 9.62598, 2.70935 )
1579: (x, y) = ( -3.67291, -9.30106 )
1580: (x, y) = ( 9.31711, 3.63199 )
1581: (x, y) = ( -9.96829, -0.795786 )
1582: (x, y) = ( 4.94872, 8.68966 )
1583: (x, y) = ( 3.67319, -9.30095 )
1584: (x, y) = ( 8.83863, 4.67745 )
1585: (x, y) = ( 7.71061, 6.36761 )
1586: (x, y) = ( -10, -0.000301444 )
1587: (x, y) = ( 5.91345, 8.06418 )
1588: (x, y) = ( 2.06482, -9.7845 )
1589: (x, y) = ( 0.398209, -9.99207 )
1590: (x, y) = ( 8.75445, 4.83318 )
1591: (x, y) = ( 3.67319, -9.30095 )
1592: (x, y) = ( 5.47704, 8.36672 )
1593: (x, y) = ( -1.8043, 9.83588 )
1594: (x, y) = ( -7.65395, -6.43561 )
1595: (x, y) = ( -7.30194, 6.8324 )
1596: (x, y) = ( 6.05528, 7.95824 )
1597: (x, y) = ( 3.17429, -9.48282 )
1598: (x, y) = ( 9.94364, 1.06017 )
1599: (x, y) = ( 9.9339, -1.14785 )
1600: (x, y) = ( -8.39072, -5.44021 )
1601: (x, y) = ( -4.0811, 9.12933 )
1602: (x, y) = ( -6.86465, -7.27163 )
1603: (x, y) = ( 9.85897, 1.67356 )
1604: (x, y) = ( -9.31722, 3.63171 )
1605: (x, y) = ( 2.9211, 9.56385 )
1606: (x, y) = ( -7.65395, -6.43561 )
1607: (x, y) = ( -8.4857, 5.29083 )
1608: (x, y) = ( 9.94364, 1.06017 )
1609: (x, y) = ( -6.33343, 7.73872 )
1610: (x, y) = ( -1.27964, -9.91779 )
1611: (x, y) = ( -2.83633, -9.58933 )
1612: (x, y) = ( -8.87969, -4.59903 )
1613: (x, y) = ( 7.98496, -6.02 )
1614: (x, y) = ( 9.99373, 0.353983 )
1615: (x, y) = ( -5.69726, -8.21835 )
1616: (x, y) = ( 2.75192, -9.61389 )
1617: (x, y) = ( 2.4954, 9.68364 )
1618: (x, y) = ( -8.43838, -5.36598 )
1619: (x, y) = ( 8.43854, -5.36573 )
1620: (x, y) = ( 9.77533, -2.10781 )
1621: (x, y) = ( -7.05551, 7.08659 )
1622: (x, y) = ( -9.99021, -0.442427 )
1623: (x, y) = ( -7.48058, -6.63634 )
1624: (x, y) = ( 3.83726, -9.23447 )
1625: (x, y) = ( 4.40143, -8.97928 )
1626: (x, y) = ( 9.99648, -0.26521 )
1627: (x, y) = ( -8.53204, -5.21577 )
1628: (x, y) = ( -0.132767, 9.99912 )
1629: (x, y) = ( -9.99647, -0.265512 )
1630: (x, y) = ( 3.25781, 9.45445 )
1631: (x, y) = ( 1.10417, -9.93885 )
1632: (x, y) = ( -9.49687, 3.132 )
1633: (x, y) = ( -9.81106, -1.93473 )
1634: (x, y) = ( -8.83877, 4.67719 )
1635: (x, y) = ( -8.2931, -5.58789 )
1636: (x, y) = ( -9.25148, 3.79608 )
1637: (x, y) = ( -0.751361, -9.97173 )
1638: (x, y) = ( 9.99373, 0.353983 )
1639: (x, y) = ( 8.66752, 4.98739 )
1640: (x, y) = ( 3.17429, -9.48282 )
1641: (x, y) = ( -5.40277, -8.41487 )
1642: (x, y) = ( -1.8043, 9.83588 )
1643: (x, y) = ( -7.17985, 6.96058 )
1644: (x, y) = ( 9.55074, 2.96369 )
1645: (x, y) = ( -2.15135, 9.76584 )
1646: (x, y) = ( 4.16174, -9.09285 )
1647: (x, y) = ( -9.57659, -2.87903 )
1648: (x, y) = ( -9.99374, 0.353682 )
1649: (x, y) = ( 7.59668, 6.50311 )
1650: (x, y) = ( -9.62606, 2.70906 )
1651: (x, y) = ( 8.48554, 5.29108 )
1652: (x, y) = ( 3.59044, 9.33321 )
1653: (x, y) = ( 9.73649, -2.28052 )
1654: (x, y) = ( -2.83633, -9.58933 )
1655: (x, y) = ( -6.73485, -7.39201 )
1656: (x, y) = ( -8.57803, 5.13978 )
1657: (x, y) = ( 3.59044, 9.33321 )
1658: (x, y) = ( -9.46868, -3.21622 )
1659: (x, y) = ( -8.43838, -5.36598 )
1660: (x, y) = ( -4.48074, 8.93997 )
1661: (x, y) = ( 8.39088, -5.43996 )
1662: (x, y) = ( 5.84209, -8.11603 )
1663: (x, y) = ( -9.89992, 1.4112 )
1664: (x, y) = ( 9.11118, 4.12146 )
1665: (x, y) = ( -1.36767, 9.90603 )
1666: (x, y) = ( 1.1918, 9.92873 )
1667: (x, y) = ( -2.66672, 9.63787 )
1668: (x, y) = ( -9.99961, -0.0885131 )
1669: (x, y) = ( 0.839594, 9.96469 )
1670: (x, y) = ( 8.75445, 4.83318 )
1671: (x, y) = ( -3.2581, 9.45435 )
1672: (x, y) = ( -7.59688, 6.50288 )
1673: (x, y) = ( -6.33343, 7.73872 )
1674: (x, y) = ( -9.79361, 2.0212 )
1675: (x, y) = ( -9.18283, 3.95925 )
1676: (x, y) = ( -1.36767, 9.90603 )
